"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"荔枝菌季不是坐等数钱，靠山吃山，先吃的是不确定。#荔枝菌 #菌农收入 #商业揭秘","export/UzFfBgAAxM-gPD0bNSSvjMzT4DCaF_przoQJiIF4vMjN1KAFdw","2026/07/04","38.71%","20.75秒",6676,11,21,0,25,3,25,0,0,0,,,,
"有人觉得酒楼拿货价差是加价狠，其实后面还有分级、损耗和出品要求。#荔枝菌 #酒楼 #买菜避坑","export/UzFfBgAAxPigZA0eRSWsjMzT4DCaAxVUU1Yg15S-irBi1WLfTg","2026/07/03","35.33%","17.03秒",2173,1,0,0,0,0,0,0,0,0,,,,
"酒楼拿荔枝菌不是只看单价，真正会算的人，先看损耗和能不能出菜。#荔枝菌 #酒楼拿货 #商业揭秘","export/UzFfBgAAxMKgdGlnGgCsjMzT4DCatKJfDBXckOMjTGuRjDB8cA","2026/07/03","36.98%","17.90秒",2842,0,0,0,1,0,1,0,0,0,,,,
"连幼儿园妈妈都会做的荔枝菌，你还在搜教程？#荔枝菌 #简单做法 #反问","export/UzFfBgAAxJWgVF0UQQysjMzT4DCa2jDDyXj3vSPsZWaZEHu8kQ","2026/07/03","30.40%","14.72秒",1579,3,0,0,4,0,4,0,0,0,,,,
"有人一听外省菌就站队，真正要反对的是冒充，不是地域。#荔枝菌 #真假避坑 #买菜判断
","export/UzFfBgAAxO2gIFdaKBGtjMzT4DCaVhAwYoNazV8Rn-EIlm064Q","2026/07/02","29.60%","15.00秒",1750,2,1,0,2,2,2,0,0,0,,,,
"外省菌冒充荔枝菌，最坑的不是产地两个字，是买家按荔枝菌的期待去做。#荔枝菌 #冒充揭秘 #商业揭秘
","export/UzFfBgAAxPygYCIAchutjMzT4DCaeZVFbkX5_dZm8sW9BiIwnQ","2026/07/02","34.36%","15.42秒",1368,3,0,0,0,0,0,0,0,0,,,,
"不是所有野生菌都值得吃，有些只是""野生""两个字值钱。#荔枝菌 #质疑","export/UzFfBgAAxOGgXDcKbEmtjMzT4DCaTvWqcDGSYulqVAnpU3eyow","2026/07/02","30.77%","18.92秒",1885,4,1,0,4,1,4,0,0,0,,,,
"价格从来不是鲜的标准，时间才是。#荔枝菌 #质疑 #避坑","export/UzFfBgAAxM6gVFd_ZGiijMzT4DCa0Yt27aLP2xfuumUejWJINg","2026/07/01","20.06%","15.20秒",712,0,1,0,1,0,1,0,0,0,,,,
"有人觉得野生菌只要外形像，回家一煮才知道差别。#荔枝菌 #真假鉴别 #老广买菜
","export/UzFfBgAAxOKgMHNmN0yijMzT4DCaJcR2QPlbxCHQ1gltInUd9Q","2026/07/01","32.34%","14.42秒",2177,2,0,0,2,0,2,0,0,0,,,,
"真正会买的人，验荔枝菌不是拍照给别人看，而是先看细节。#荔枝菌 #真假鉴别 #买菜避坑
","export/UzFfBgAAxP-gQBcKG1CijMzT4DCamQjjWo-V4SSFMdLREw1Sdg","2026/07/01","36.37%","16.90秒",4426,2,3,0,2,1,2,0,0,0,,,,
